Ano,mdl_simplecertificate_issues.Mes,Certificados
2018,outubro,1
2018,novembro,1
2019,maio,3
2019,junho,2
2019,agosto,1
2019,setembro,12
2019,outubro,74
2019,novembro,115
2019,dezembro,110
2020,janeiro,116
2020,fevereiro,94
2020,março,403
2020,abril,1644
2020,maio,1653
2020,junho,1921
2020,julho,1228
2020,agosto,1023
2020,setembro,842
2020,outubro,773
2020,novembro,806
2020,dezembro,1113
2021,janeiro,405
2021,fevereiro,1025
2021,março,569
2021,abril,728
2021,maio,798
2021,junho,719
2021,julho,668
2021,agosto,873
2021,setembro,784
2021,outubro,805
2021,novembro,647
2021,dezembro,971
2022,janeiro,593
2022,fevereiro,690
2022,março,827
2022,abril,660
2022,maio,881
2022,junho,1678
2022,julho,856
2022,agosto,856
2022,setembro,1539
2022,outubro,949
2022,novembro,1029
2022,dezembro,1158
2023,janeiro,725
2023,fevereiro,723
2023,março,1056
2023,abril,1167
2023,maio,1092
2023,junho,1231
2023,julho,2203
2023,agosto,1682
2023,setembro,1206
2023,outubro,1052
2023,novembro,1046
2023,dezembro,1667
2024,janeiro,1410
2024,fevereiro,1291
2024,março,1315
2024,abril,1694
2024,maio,1931
2024,junho,2044
2024,julho,1820
2024,agosto,1631
2024,setembro,1888
2024,outubro,1791
2024,novembro,1734
2024,dezembro,2145
2025,janeiro,1585
2025,fevereiro,1840
2025,março,1841
2025,abril,1760
2025,maio,2099
2025,junho,1901
2025,julho,1714
2025,agosto,1607
2025,setembro,1213
2025,outubro,1446
2025,novembro,2239
2025,dezembro,3013
2026,janeiro,1355
2026,fevereiro,1337
2026,março,1674
2026,abril,1508
2026,maio,1579
2026,junho,1514
