UF,Matriculas
Espírito Santo (ES),104249
São Paulo (SP),35073
Rio de Janeiro (RJ),20876
Minas Gerais (MG),20484
Bahia (BA),12712
Rio Grande do Sul (RS),10574
Pernambuco (PE),8694
Pará (PA),8163
Ceará (CE),7971
Paraná (PR),6891
Goiás (GO),6453
Santa Catarina (SC),6406
Distrito Federal (DF),6272
Maranhão (MA),5702
Paraíba (PB),4773
Piauí (PI),4151
Rio Grande do Norte (RN),4023
Amazonas (AM),3775
Mato Grosso (MT),3757
Sergipe (SE),2748
Alagoas (AL),2598
Mato Grosso do Sul (MS),2586
Rondônia (RO),2115
Roraima (RR),1916
Acre (AC),1463
Tocantins (TO),1383
Amapá (AP),1339
Outro país,1103
,59
